0	8	-2.475382554	1184	-0.007154500	592	-4.943610607	592	-0.000000000	-0.000000000	-0.000000000	0
100	13	-3.415188145	1184	-0.001096177	592	-6.829280113	592	-0.000000000	-0.000000000	-0.000000000	51376
200	17	-3.584646141	1184	-0.000969995	592	-7.168322286	592	-0.000000000	-0.000000000	-0.000000000	109836
300	21	-3.484877063	1184	-0.001049458	592	-6.968704667	592	-0.000000000	-0.000000000	-0.000000000	169817
400	25	-3.486468259	1184	-0.001003453	592	-6.971933065	592	-0.000000000	-0.000000000	-0.000000000	228313
500	29	-3.472117405	1184	-0.001051290	592	-6.943183519	592	-0.000000000	-0.000000000	-0.000000000	286709
600	35	-3.500059894	1184	-0.001010496	592	-6.999109292	592	-0.000000000	-0.000000000	-0.000000000	352379
700	41	-3.443710961	1184	-0.001073270	592	-6.886348652	592	-0.000000000	-0.000000000	-0.000000000	420691
800	46	-3.403055498	1184	-0.001044057	592	-6.805066939	592	-0.000000000	-0.000000000	-0.000000000	485430
900	52	-3.404432896	1184	-0.000993400	592	-6.807872391	592	-0.000000000	-0.000000000	-0.000000000	552260
1000	58	-3.434714700	1184	-0.000950508	592	-6.868478892	592	-0.000000000	-0.000000000	-0.000000000	618914
1100	64	-3.330633819	1184	-0.001013117	592	-6.660254522	592	-0.000000000	-0.000000000	-0.000000000	673380
1200	69	-3.349900750	1184	-0.000984459	592	-6.698817042	592	-0.000000000	-0.000000000	-0.000000000	732788
1300	76	-3.310730702	1184	-0.000982959	592	-6.620478445	592	-0.000000000	-0.000000000	-0.000000000	791452
1400	81	-3.296059635	1184	-0.000970286	592	-6.591148985	592	-0.000000000	-0.000000000	-0.000000000	848629
1500	87	-3.291193134	1184	-0.000966896	592	-6.581419373	592	-0.000000000	-0.000000000	-0.000000000	913332
1600	94	-3.271987919	1184	-0.000979824	592	-6.542996015	592	-0.000000000	-0.000000000	-0.000000000	972064
1700	103	-3.224392394	1184	-0.000971427	592	-6.447813361	592	-0.000000000	-0.000000000	-0.000000000	1035694
1800	110	-3.211772021	1184	-0.000964452	592	-6.422579591	592	-0.000000000	-0.000000000	-0.000000000	1095443
1900	116	-3.186123069	1184	-0.001009680	592	-6.371236458	592	-0.000000000	-0.000000000	-0.000000000	1153095
2000	124	-3.172672283	1184	-0.001022989	592	-6.344321577	592	-0.000000000	-0.000000000	-0.000000000	1218069
