5000	2	-1.565473935	48	-0.016302955	24	-3.114644914	24	-0.000000000	-0.000000000	-0.000000000	213822
5100	2	-1.571851867	48	-0.016343548	24	-3.127360187	24	-0.000000000	-0.000000000	-0.000000000	218047
5200	2	-1.590434606	48	-0.016063990	24	-3.164805222	24	-0.000000000	-0.000000000	-0.000000000	222577
5300	2	-1.630715774	48	-0.015706064	24	-3.245725485	24	-0.000000000	-0.000000000	-0.000000000	227111
5400	2	-1.613098257	48	-0.015497457	24	-3.210699057	24	-0.000000000	-0.000000000	-0.000000000	230811
5500	3	-1.597769560	48	-0.015262345	24	-3.180276776	24	-0.000000000	-0.000000000	-0.000000000	235393
5600	3	-1.593521992	48	-0.015079651	24	-3.171964333	24	-0.000000000	-0.000000000	-0.000000000	239690
5700	3	-1.575721688	48	-0.015504292	24	-3.135939085	24	-0.000000000	-0.000000000	-0.000000000	243887
5800	3	-1.571753268	48	-0.015742867	24	-3.127763669	24	-0.000000000	-0.000000000	-0.000000000	248355
5900	3	-1.573960970	48	-0.015858989	24	-3.132062951	24	-0.000000000	-0.000000000	-0.000000000	252435
6000	3	-1.563740898	48	-0.015903288	24	-3.111578508	24	-0.000000000	-0.000000000	-0.000000000	256707
6100	3	-1.554362613	48	-0.015974743	24	-3.092750483	24	-0.000000000	-0.000000000	-0.000000000	261103
6200	3	-1.594775426	48	-0.016556153	24	-3.172994698	24	-0.000000000	-0.000000000	-0.000000000	265129
6300	3	-1.601406132	48	-0.016627863	24	-3.186184401	24	-0.000000000	-0.000000000	-0.000000000	269079
6400	3	-1.584987148	48	-0.016901432	24	-3.153072864	24	-0.000000000	-0.000000000	-0.000000000	273374
6500	3	-1.567269541	48	-0.017329076	24	-3.117210006	24	-0.000000000	-0.000000000	-0.000000000	277498
6600	3	-1.561511533	48	-0.017373085	24	-3.105649982	24	-0.000000000	-0.000000000	-0.000000000	282297
6700	3	-1.561746025	48	-0.017868059	24	-3.105623990	24	-0.000000000	-0.000000000	-0.000000000	286046
6800	3	-1.552488296	48	-0.017721045	24	-3.087255548	24	-0.000000000	-0.000000000	-0.000000000	289743
6900	3	-1.554328838	48	-0.018027918	24	-3.090629758	24	-0.000000000	-0.000000000	-0.000000000	293302
7000	3	-1.545441760	48	-0.018153689	24	-3.072729830	24	-0.000000000	-0.000000000	-0.000000000	297384
7100	3	-1.549443198	48	-0.018021206	24	-3.080865190	24	-0.000000000	-0.000000000	-0.000000000	301551
7200	3	-1.549229630	48	-0.017820863	24	-3.080638396	24	-0.000000000	-0.000000000	-0.000000000	305894
7300	3	-1.565561339	48	-0.017547726	24	-3.113574951	24	-0.000000000	-0.000000000	-0.000000000	310239
7400	3	-1.552736400	48	-0.017320289	24	-3.088152511	24	-0.000000000	-0.000000000	-0.000000000	314646
7500	3	-1.564494221	48	-0.017179672	24	-3.111808770	24	-0.000000000	-0.000000000	-0.000000000	318519
7600	3	-1.579670584	48	-0.017043992	24	-3.142297176	24	-0.000000000	-0.000000000	-0.000000000	322954
7700	3	-1.586837448	48	-0.016721727	24	-3.156953170	24	-0.000000000	-0.000000000	-0.000000000	327960
7800	3	-1.583226490	48	-0.016557330	24	-3.149895650	24	-0.000000000	-0.000000000	-0.000000000	332627
7900	4	-1.581133792	48	-0.016540894	24	-3.145726690	24	-0.000000000	-0.000000000	-0.000000000	336530
8000	4	-1.567471804	48	-0.016418005	24	-3.118525603	24	-0.000000000	-0.000000000	-0.000000000	340449
8100	4	-1.551433225	48	-0.016313115	24	-3.086553335	24	-0.000000000	-0.000000000	-0.000000000	344565
8200	4	-1.561684247	48	-0.016455975	24	-3.106912519	24	-0.000000000	-0.000000000	-0.000000000	348702
8300	4	-1.551794719	48	-0.016633889	24	-3.086955548	24	-0.000000000	-0.000000000	-0.000000000	353182
8400	4	-1.541875415	48	-0.016797049	24	-3.066953781	24	-0.000000000	-0.000000000	-0.000000000	357619
8500	4	-1.559792416	48	-0.016689048	24	-3.102895784	24	-0.000000000	-0.000000000	-0.000000000	362371
8600	4	-1.551400903	48	-0.016466773	24	-3.086335032	24	-0.000000000	-0.000000000	-0.000000000	366519
8700	4	-1.548052992	48	-0.016589744	24	-3.079516240	24	-0.000000000	-0.000000000	-0.000000000	370488
8800	4	-1.555521222	48	-0.016563295	24	-3.094479149	24	-0.000000000	-0.000000000	-0.000000000	374792
8900	4	-1.604501743	48	-0.016313248	24	-3.192690238	24	-0.000000000	-0.000000000	-0.000000000	379618
9000	4	-1.591905759	48	-0.016197646	24	-3.167613872	24	-0.000000000	-0.000000000	-0.000000000	384238
9100	4	-1.574058537	48	-0.016597362	24	-3.131519713	24	-0.000000000	-0.000000000	-0.000000000	388453
9200	4	-1.565403065	48	-0.016611942	24	-3.114194189	24	-0.000000000	-0.000000000	-0.000000000	392776
9300	4	-1.605789635	48	-0.016629123	24	-3.194950147	24	-0.000000000	-0.000000000	-0.000000000	396774
9400	4	-1.588251037	48	-0.016528062	24	-3.159974011	24	-0.000000000	-0.000000000	-0.000000000	401026
9500	4	-1.578090024	48	-0.016327452	24	-3.139852597	24	-0.000000000	-0.000000000	-0.000000000	405556
9600	4	-1.559578964	48	-0.016275290	24	-3.102882639	24	-0.000000000	-0.000000000	-0.000000000	409598
9700	4	-1.574245922	48	-0.016067137	24	-3.132424706	24	-0.000000000	-0.000000000	-0.000000000	413990
9800	4	-1.575099664	48	-0.015955819	24	-3.134243509	24	-0.000000000	-0.000000000	-0.000000000	418182
9900	4	-1.570303246	48	-0.016096338	24	-3.124510153	24	-0.000000000	-0.000000000	-0.000000000	422077
10000	4	-1.565965985	48	-0.015993371	24	-3.115938600	24	-0.000000000	-0.000000000	-0.000000000	426162
10100	4	-1.563761709	48	-0.015893451	24	-3.111629968	24	-0.000000000	-0.000000000	-0.000000000	430291
10200	5	-1.566766946	48	-0.015998850	24	-3.117535043	24	-0.000000000	-0.000000000	-0.000000000	434554
10300	5	-1.579012502	48	-0.015948857	24	-3.142076147	24	-0.000000000	-0.000000000	-0.000000000	438901
10400	5	-1.572112939	48	-0.015900781	24	-3.128325097	24	-0.000000000	-0.000000000	-0.000000000	442999
10500	5	-1.582071288	48	-0.015913012	24	-3.148229564	24	-0.000000000	-0.000000000	-0.000000000	447147
10600	5	-1.582435243	48	-0.016109244	24	-3.148761242	24	-0.000000000	-0.000000000	-0.000000000	451199
10700	5	-1.569699533	48	-0.016161873	24	-3.123237194	24	-0.000000000	-0.000000000	-0.000000000	455495
10800	5	-1.573645747	48	-0.016105292	24	-3.131186202	24	-0.000000000	-0.000000000	-0.000000000	459761
10900	5	-1.582957263	48	-0.015962751	24	-3.149951775	24	-0.000000000	-0.000000000	-0.000000000	464032
11000	5	-1.573979951	48	-0.016003062	24	-3.131956840	24	-0.000000000	-0.000000000	-0.000000000	467953
11100	5	-1.573574335	48	-0.015946840	24	-3.131201830	24	-0.000000000	-0.000000000	-0.000000000	472022
11200	5	-1.564718411	48	-0.016133285	24	-3.113303537	24	-0.000000000	-0.000000000	-0.000000000	476038
11300	5	-1.566576918	48	-0.016117514	24	-3.117036321	24	-0.000000000	-0.000000000	-0.000000000	480570
11400	5	-1.557466820	48	-0.016051007	24	-3.098882633	24	-0.000000000	-0.000000000	-0.000000000	484982
11500	5	-1.562540943	48	-0.016196504	24	-3.108885383	24	-0.000000000	-0.000000000	-0.000000000	488673
11600	5	-1.573687894	48	-0.016330977	24	-3.131044810	24	-0.000000000	-0.000000000	-0.000000000	493129
11700	5	-1.547685120	48	-0.016679627	24	-3.078690612	24	-0.000000000	-0.000000000	-0.000000000	496656
11800	5	-1.559910573	48	-0.016974632	24	-3.102846513	24	-0.000000000	-0.000000000	-0.000000000	500958
11900	5	-1.560191875	48	-0.017029144	24	-3.103354606	24	-0.000000000	-0.000000000	-0.000000000	505563
12000	5	-1.596000407	48	-0.017024575	24	-3.174976239	24	-0.000000000	-0.000000000	-0.000000000	509437
12100	5	-1.586782580	48	-0.017046308	24	-3.156518853	24	-0.000000000	-0.000000000	-0.000000000	513427
12200	5	-1.581335472	48	-0.016851267	24	-3.145819677	24	-0.000000000	-0.000000000	-0.000000000	518281
12300	5	-1.574041003	48	-0.016755662	24	-3.131326345	24	-0.000000000	-0.000000000	-0.000000000	522610
12400	5	-1.562201949	48	-0.017015440	24	-3.107388458	24	-0.000000000	-0.000000000	-0.000000000	526458
12500	5	-1.595338721	48	-0.016886147	24	-3.173791296	24	-0.000000000	-0.000000000	-0.000000000	531245
12600	6	-1.586637695	48	-0.016807366	24	-3.156468023	24	-0.000000000	-0.000000000	-0.000000000	535417
12700	6	-1.576320895	48	-0.016690990	24	-3.135950799	24	-0.000000000	-0.000000000	-0.000000000	539751
12800	6	-1.602122136	48	-0.016552288	24	-3.187691984	24	-0.000000000	-0.000000000	-0.000000000	543713
